Month_status_date,Customer_ID,Customer_Name,Employee_Index,Customer_country,Sex,Age,Join_date,New_customer,Relationship_Months,Relationship_flag,Last_date_Primary_Customer,Customer_type_begin_Month,Cust_Relation_type_begin_month,Residence_flag,Forigner_flag,Emp_spouse_flag,Channel_when_joined,Deceased_flag,Address_type,Customer_address,Address_detail,Activity_flag,Gross_household_income,Segment,Current_Holding
28-06-2016,15889,Maris Natividad,Filial,Spain,Male,56,16-01-1995,No,256,Primary_Customer,,Primary_Customer,Active,Resident,No,No,KAT,No,Primary,VIP,MADRID,Active_Customer,326124.9,TOP,Locker
28-06-2016,15890,Gabriela Najar,Active,Spain,Male,63,16-01-1995,No,257,Primary_Customer,,Primary_Customer,Active,Resident,No,Yes,KAT,No,Primary,Individuals,MADRID,Active_Customer,71461.2,TOP,Life_Insurance
28-06-2016,15892,Colene Hausman,Filial,Spain,Female,62,16-01-1995,No,257,Primary_Customer,,Primary_Customer,Active,Resident,No,No,KAT,No,Primary,Joint,MADRID,Active_Customer,430477.41,TOP,Locker
28-06-2016,15893,Laurinda Bertelsen,Non-Employee,Spain,Male,63,03-10-1997,No,257,Primary_Customer,,Primary_Customer,Active,Resident,No,No,KAT,No,Primary,Joint,MADRID,Active_Customer,430477.41,PARTICULARES,Life_Insurance
28-06-2016,15894,Katlyn Rosebrook,Active,Spain,Male,60,16-01-1995,No,257,Primary_Customer,,Primary_Customer,Active,Resident,No,Yes,KAT,No,Primary,Joint,MADRID,Active_Customer,281757.72,TOP,Savings_Account
28-06-2016,15895,Jefferson Wesely,Active,Spain,Female,50,16-01-1995,No,257,Primary_Customer,,Primary_Customer,Active,Resident,No,Yes,KAT,No,Primary,Individuals,MADRID,Active_Customer,205427.58,PARTICULARES,Savings_Account
28-06-2016,15896,Roxanna Providence,Filial,Spain,Male,50,16-01-1995,No,257,Primary_Customer,,Primary_Customer,Active,Resident,No,Yes,KAT,No,Primary,VIP,MADRID,Active_Customer,183021.75,TOP,Savings_Account
28-06-2016,15897,Alesha Motta,Active,Spain,Male,62,16-01-1995,No,257,Primary_Customer,,Primary_Customer,Active,Resident,No,No,KAT,No,Primary,Joint,MADRID,Active_Customer,175450.05,TOP,Life_Insurance
28-06-2016,15898,Luigi Beachum,Non-Employee,Spain,Female,61,26-01-2000,No,257,Primary_Customer,,Primary_Customer,Inactive,Resident,No,No,KAT,No,Primary,Joint,MADRID,Inactive_Customer,175450.05,PARTICULARES,Savings_Account
28-06-2016,15899,Donella Swearingen,Ex-Employee,Spain,Male,57,16-01-1995,No,257,Primary_Customer,,Primary_Customer,Active,Resident,No,No,KAT,No,Primary,Joint,MADRID,Active_Customer,130835.64,TOP,Locker
